"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Construction aéronautique et spatiale (NAF rév. 2, niveau classe, poste 30.30)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Construction aéronautique et spatiale (NAF rév. 2, niveau classe, poste 30.30)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Construction aéronautique et spatiale (NAF rév. 2, niveau classe, poste 30.30)";"Codes"
"idBank";"010768169";"";"010768169";"";"010768169";""
"Mises à jour";"03/05/2024 08:45";"";"05/04/2024 08:45";"";"05/03/2024 08:45";""
"Période";"";"";"";"";"";""
"2024-03";"123.03";"A";"";"";"";""
"2024-02";"118.07";"A";"118.13";"A";"";""
"2024-01";"123.58";"A";"123.69";"A";"124.38";"A"
"2023-12";"130.05";"A";"130.13";"A";"131.07";"A"
"2023-11";"125.49";"A";"125.59";"A";"126.07";"A"
"2023-10";"120.07";"A";"120.12";"A";"120.39";"A"
"2023-09";"121.08";"A";"121.1";"A";"121.25";"A"
"2023-08";"125.87";"A";"125.9";"A";"125.9";"A"
"2023-07";"109.08";"A";"109.18";"A";"109.06";"A"
"2023-06";"120.4";"A";"120.4";"A";"120.32";"A"
"2023-05";"122.31";"A";"122.24";"A";"122.18";"A"
"2023-04";"121.86";"A";"121.77";"A";"121.69";"A"
"2023-03";"116.3";"A";"115.68";"A";"115.56";"A"
"2023-02";"120.43";"A";"120.5";"A";"118.52";"A"
"2023-01";"106.95";"A";"107.06";"A";"107.6";"A"
"2022-12";"118.09";"A";"118.24";"A";"118.92";"A"
"2022-11";"99.98";"A";"100.04";"A";"100.46";"A"
"2022-10";"107.04";"A";"107.04";"A";"107.31";"A"
"2022-09";"102.23";"A";"102.28";"A";"102.38";"A"
"2022-08";"104.76";"A";"104.77";"A";"104.76";"A"
"2022-07";"107.85";"A";"107.9";"A";"107.78";"A"
"2022-06";"108.88";"A";"108.83";"A";"108.76";"A"
"2022-05";"97.35";"A";"97.37";"A";"97.24";"A"
"2022-04";"105.26";"A";"105.21";"A";"105.12";"A"
"2022-03";"101.1";"A";"100.69";"A";"100.56";"A"
"2022-02";"104.67";"A";"104.72";"A";"103.43";"A"
"2022-01";"102.4";"A";"102.43";"A";"102.83";"A"
"2021-12";"97.98";"A";"98.14";"A";"98.59";"A"
"2021-11";"92.94";"A";"92.99";"A";"93.24";"A"
"2021-10";"115.48";"A";"115.46";"A";"115.62";"A"
"2021-09";"88.4";"A";"88.45";"A";"88.47";"A"
"2021-08";"105.23";"A";"105.24";"A";"105.21";"A"
"2021-07";"113.29";"A";"113.32";"A";"113.2";"A"
"2021-06";"95.77";"A";"95.77";"A";"95.68";"A"
"2021-05";"101.37";"A";"101.31";"A";"101.26";"A"
"2021-04";"93.15";"A";"93.15";"A";"93.06";"A"
"2021-03";"95.3";"A";"95.1";"A";"94.95";"A"
"2021-02";"91.05";"A";"91.09";"A";"90.47";"A"
"2021-01";"110.04";"A";"109.98";"A";"110.24";"A"
"2020-12";"100.68";"A";"100.75";"A";"101.0";"A"
"2020-11";"106.01";"A";"106.04";"A";"106.14";"A"
"2020-10";"98.84";"A";"98.84";"A";"98.91";"A"
"2020-09";"105.79";"A";"105.82";"A";"105.79";"A"
"2020-08";"95.84";"A";"95.79";"A";"95.78";"A"
"2020-07";"98.93";"A";"98.95";"A";"98.83";"A"
"2020-06";"98.22";"A";"98.18";"A";"98.12";"A"
"2020-05";"91.83";"A";"91.73";"A";"91.72";"A"
"2020-04";"84.16";"A";"84.16";"A";"84.09";"A"
"2020-03";"117.06";"A";"117.05";"A";"116.91";"A"
"2020-02";"160.97";"A";"160.92";"A";"160.86";"A"
"2020-01";"153.35";"A";"153.34";"A";"153.41";"A"
"2019-12";"149.49";"A";"149.48";"A";"149.53";"A"
"2019-11";"164.96";"A";"164.9";"A";"164.91";"A"
"2019-10";"160.41";"A";"160.43";"A";"160.37";"A"
"2019-09";"164.19";"A";"164.17";"A";"164.12";"A"
"2019-08";"157.61";"A";"157.57";"A";"157.54";"A"
"2019-07";"158.35";"A";"158.38";"A";"158.27";"A"
"2019-06";"152.93";"A";"152.81";"A";"152.84";"A"
"2019-05";"163.24";"A";"163.23";"A";"163.18";"A"
"2019-04";"154.82";"A";"154.82";"A";"154.77";"A"
"2019-03";"165.43";"A";"165.4";"A";"165.28";"A"
"2019-02";"165.86";"A";"165.84";"A";"165.78";"A"
"2019-01";"158.75";"A";"158.74";"A";"158.78";"A"
"2018-12";"170.47";"A";"170.4";"A";"170.39";"A"
"2018-11";"165.21";"A";"165.21";"A";"165.15";"A"
"2018-10";"160.22";"A";"160.22";"A";"160.17";"A"
"2018-09";"158.6";"A";"158.53";"A";"158.53";"A"
"2018-08";"160.73";"A";"160.73";"A";"160.67";"A"
"2018-07";"167.94";"A";"167.92";"A";"167.86";"A"
"2018-06";"166.57";"A";"166.54";"A";"166.51";"A"
"2018-05";"161.79";"A";"161.74";"A";"161.72";"A"
"2018-04";"163.93";"A";"163.89";"A";"163.87";"A"
"2018-03";"143.34";"A";"143.38";"A";"143.23";"A"
"2018-02";"150.28";"A";"150.26";"A";"150.21";"A"
"2018-01";"159.5";"A";"159.49";"A";"159.49";"A"
"2017-12";"151.76";"A";"151.68";"A";"151.68";"A"
"2017-11";"161.7";"A";"161.7";"A";"161.64";"A"
"2017-10";"153.47";"A";"153.43";"A";"153.41";"A"
"2017-09";"155.15";"A";"155.12";"A";"155.09";"A"
"2017-08";"165.98";"A";"165.98";"A";"165.93";"A"
"2017-07";"148.95";"A";"148.86";"A";"148.87";"A"
"2017-06";"151.78";"A";"151.74";"A";"151.72";"A"
"2017-05";"161.16";"A";"161.16";"A";"161.11";"A"
"2017-04";"148.81";"A";"148.74";"A";"148.75";"A"
"2017-03";"164.06";"A";"164.14";"A";"163.97";"A"
"2017-02";"146.81";"A";"146.78";"A";"146.75";"A"
"2017-01";"151.48";"A";"151.48";"A";"151.43";"A"
"2016-12";"145.64";"A";"145.64";"A";"145.6";"A"
"2016-11";"140.9";"A";"140.85";"A";"140.84";"A"
"2016-10";"153.42";"A";"153.33";"A";"153.34";"A"
"2016-09";"147.03";"A";"147.03";"A";"146.98";"A"
"2016-08";"143.28";"A";"143.29";"A";"143.23";"A"
"2016-07";"146.4";"A";"146.32";"A";"146.33";"A"
"2016-06";"151.07";"A";"151.08";"A";"151.02";"A"
"2016-05";"147.76";"A";"147.77";"A";"147.71";"A"
"2016-04";"157.6";"A";"157.62";"A";"157.55";"A"
"2016-03";"147.83";"A";"147.87";"A";"147.75";"A"
"2016-02";"152.0";"A";"151.98";"A";"151.95";"A"
"2016-01";"154.53";"A";"154.43";"A";"154.45";"A"
"2015-12";"139.68";"A";"139.67";"A";"139.63";"A"
"2015-11";"127.46";"A";"127.42";"A";"127.41";"A"
"2015-10";"142.33";"A";"142.29";"A";"142.27";"A"
"2015-09";"153.4";"A";"153.41";"A";"153.35";"A"
"2015-08";"141.53";"A";"141.5";"A";"141.48";"A"
"2015-07";"139.81";"A";"139.83";"A";"139.77";"A"
"2015-06";"142.49";"A";"142.5";"A";"142.44";"A"
"2015-05";"143.7";"A";"143.58";"A";"143.62";"A"
"2015-04";"132.16";"A";"132.18";"A";"132.12";"A"
"2015-03";"149.22";"A";"149.25";"A";"149.15";"A"
"2015-02";"153.34";"A";"153.3";"A";"153.28";"A"
"2015-01";"146.3";"A";"146.25";"A";"146.24";"A"
"2014-12";"153.86";"A";"153.85";"A";"153.8";"A"
"2014-11";"129.62";"A";"129.54";"A";"129.56";"A"
"2014-10";"151.07";"A";"151.07";"A";"151.02";"A"
"2014-09";"144.33";"A";"144.34";"A";"144.29";"A"
"2014-08";"142.14";"A";"142.06";"A";"142.07";"A"
"2014-07";"157.19";"A";"157.2";"A";"157.14";"A"
"2014-06";"152.27";"A";"152.2";"A";"152.2";"A"
"2014-05";"140.85";"A";"140.82";"A";"140.8";"A"
"2014-04";"146.85";"A";"146.87";"A";"146.8";"A"
"2014-03";"149.54";"A";"149.51";"A";"149.47";"A"
"2014-02";"145.5";"A";"145.47";"A";"145.44";"A"
"2014-01";"145.34";"A";"145.34";"A";"145.29";"A"
"2013-12";"138.84";"A";"138.79";"A";"138.78";"A"
"2013-11";"156.6";"A";"156.52";"A";"156.52";"A"
"2013-10";"151.55";"A";"151.55";"A";"151.5";"A"
"2013-09";"151.97";"A";"151.93";"A";"151.91";"A"
"2013-08";"152.31";"A";"152.27";"A";"152.25";"A"
"2013-07";"147.09";"A";"147.14";"A";"147.05";"A"
"2013-06";"155.09";"A";"155.03";"A";"155.02";"A"
"2013-05";"149.09";"A";"149.06";"A";"149.03";"A"
"2013-04";"147.03";"A";"147.04";"A";"146.98";"A"
"2013-03";"136.79";"A";"136.75";"A";"136.73";"A"
"2013-02";"144.19";"A";"144.16";"A";"144.13";"A"
"2013-01";"129.78";"A";"129.77";"A";"129.73";"A"
"2012-12";"135.03";"A";"134.96";"A";"134.97";"A"
"2012-11";"137.18";"A";"137.2";"A";"137.13";"A"
"2012-10";"124.28";"A";"124.3";"A";"124.24";"A"
"2012-09";"125.4";"A";"125.31";"A";"125.33";"A"
"2012-08";"135.25";"A";"135.26";"A";"135.2";"A"
"2012-07";"123.9";"A";"123.91";"A";"123.86";"A"
"2012-06";"121.08";"A";"121.08";"A";"121.04";"A"
"2012-05";"124.64";"A";"124.6";"A";"124.59";"A"
"2012-04";"123.48";"A";"123.46";"A";"123.43";"A"
"2012-03";"138.52";"A";"138.53";"A";"138.48";"A"
"2012-02";"121.5";"A";"121.49";"A";"121.46";"A"
"2012-01";"127.66";"A";"127.64";"A";"127.61";"A"
"2011-12";"146.54";"A";"146.52";"A";"146.48";"A"
"2011-11";"125.54";"A";"125.53";"A";"125.49";"A"
